Player,Team,Pos,GP,Total_Minutes,Avg_Min_Per_Game,Total_Shots,Total_SoT,Total_Goals,Total_xG,Shots_per_90,SoT_per_90,L5_SoT_per_90,SoT_Accuracy_%
Petar Musa,FC Dallas,Unknown,5,0.0,0.0,17,11,3,0.0,0.0,0.0,0.0,64.7
Denis Bouanga,Los Angeles FC,Unknown,5,0.0,0.0,16,9,3,0.0,0.0,0.0,0.0,56.2
Joseph Paintsil,LA Galaxy,Unknown,5,0.0,0.0,14,9,2,0.0,0.0,0.0,0.0,64.3
Hennadii Synchuk,CF Montréal,Unknown,4,0.0,0.0,14,8,0,0.0,0.0,0.0,0.0,57.1
Louis Munteanu,D.C. United,Unknown,5,0.0,0.0,16,8,1,0.0,0.0,0.0,0.0,50.0
Peyton Miller,New England Revolution,Unknown,6,0.0,0.0,15,8,1,0.0,0.0,0.0,0.0,53.3
Prince Owusu,CF Montréal,Unknown,5,0.0,0.0,17,8,4,0.0,0.0,0.0,0.0,47.1
Miguel Almirón,Atlanta United,Unknown,5,0.0,0.0,14,7,2,0.0,0.0,0.0,0.0,50.0
Evander,FC Cincinnati,Unknown,5,0.0,0.0,20,7,3,0.0,0.0,0.0,0.0,35.0
Justin Ellis,Orlando City,Unknown,5,0.0,0.0,16,7,0,0.0,0.0,0.0,0.0,43.8
Dor Turgeman,New England Revolution,Unknown,6,0.0,0.0,16,7,3,0.0,0.0,0.0,0.0,43.8
Milan Iloski,Philadelphia Union,Unknown,5,0.0,0.0,20,7,2,0.0,0.0,0.0,0.0,35.0
Carles Gil,New England Revolution,Unknown,6,0.0,0.0,15,7,2,0.0,0.0,0.0,0.0,46.7
Rafael Navarro,Colorado Rapids,Unknown,5,0.0,0.0,19,7,2,0.0,0.0,0.0,0.0,36.8
Kelvin Yeboah,Minnesota United,Unknown,5,0.0,0.0,8,6,2,0.0,0.0,0.0,0.0,75.0
Brian White,Vancouver Whitecaps,Unknown,3,0.0,0.0,9,6,2,0.0,0.0,0.0,0.0,66.7
Anders Dreyer,San Diego FC,Unknown,4,0.0,0.0,14,6,2,0.0,0.0,0.0,0.0,42.9
Brandon Vazquez,Austin FC,Unknown,5,0.0,0.0,11,6,0,0.0,0.0,0.0,0.0,54.5
Mateusz Bogusz,Houston Dynamo,Unknown,5,0.0,0.0,13,6,2,0.0,0.0,0.0,0.0,46.2
Guilherme,Houston Dynamo,Unknown,5,0.0,0.0,15,6,4,0.0,0.0,0.0,0.0,40.0
Pep Biel,Charlotte FC,Unknown,5,0.0,0.0,15,6,4,0.0,0.0,0.0,0.0,40.0
Thomas Müller,Vancouver Whitecaps,Unknown,5,0.0,0.0,11,6,2,0.0,0.0,0.0,0.0,54.5
Emil Forsberg,Red Bull New York,Unknown,5,0.0,0.0,11,6,2,0.0,0.0,0.0,0.0,54.5
Tyrese Spicer,Orlando City,Unknown,5,0.0,0.0,12,6,3,0.0,0.0,0.0,0.0,50.0
Dániel Sallói,Toronto FC,Unknown,5,0.0,0.0,10,6,1,0.0,0.0,0.0,0.0,60.0
Son Heung-min,Los Angeles FC,Unknown,5,0.0,0.0,21,5,2,0.0,0.0,0.0,0.0,23.8
Cavan Sullivan,Philadelphia Union,Unknown,5,0.0,0.0,20,5,1,0.0,0.0,0.0,0.0,25.0
Nicolás Fernández,New York City FC,Unknown,4,0.0,0.0,9,5,2,0.0,0.0,0.0,0.0,55.6
Lionel Messi,Inter Miami,Unknown,4,0.0,0.0,20,5,2,0.0,0.0,0.0,0.0,25.0
Simon Becher,St. Louis City,Unknown,5,0.0,0.0,14,5,3,0.0,0.0,0.0,0.0,35.7
Kristoffer Velde,Portland Timbers,Unknown,5,0.0,0.0,16,5,1,0.0,0.0,0.0,0.0,31.2
Timo Werner,San Jose Earthquakes,Unknown,5,0.0,0.0,9,5,2,0.0,0.0,0.0,0.0,55.6
Kenji Mboma Dem,FC Cincinnati,Unknown,5,0.0,0.0,12,5,1,0.0,0.0,0.0,0.0,41.7
Robert Lewandowski,Chicago Fire,Unknown,5,0.0,0.0,12,5,3,0.0,0.0,0.0,0.0,41.7
Luighi,New York City FC,Unknown,3,0.0,0.0,9,5,2,0.0,0.0,0.0,0.0,55.6
Bryan Ramírez,FC Cincinnati,Unknown,5,0.0,0.0,6,5,1,0.0,0.0,0.0,0.0,83.3
Matthew Longstaff,CF Montréal,Unknown,5,0.0,0.0,9,5,0,0.0,0.0,0.0,0.0,55.6
Dominik Marczuk,Real Salt Lake,Unknown,3,0.0,0.0,5,5,1,0.0,0.0,0.0,0.0,100.0
Hany Mukhtar,Nashville SC,Unknown,5,0.0,0.0,15,5,3,0.0,0.0,0.0,0.0,33.3
Tai Baribo,D.C. United,Unknown,4,0.0,0.0,12,5,3,0.0,0.0,0.0,0.0,41.7
Mamadou Dieng,Minnesota United,Unknown,4,0.0,0.0,7,5,0,0.0,0.0,0.0,0.0,71.4
Anthony Markanich,Minnesota United,Unknown,5,0.0,0.0,11,4,1,0.0,0.0,0.0,0.0,36.4
Joaquín Pereyra,Minnesota United,Unknown,5,0.0,0.0,9,4,2,0.0,0.0,0.0,0.0,44.4
David Costa,Portland Timbers,Unknown,5,0.0,0.0,7,4,2,0.0,0.0,0.0,0.0,57.1
Puso Dithejane,Chicago Fire,Unknown,5,0.0,0.0,5,4,1,0.0,0.0,0.0,0.0,80.0
Jackson Hopkins,D.C. United,Unknown,5,0.0,0.0,9,4,0,0.0,0.0,0.0,0.0,44.4
Djordje Mihailovic,Toronto FC,Unknown,4,0.0,0.0,7,4,1,0.0,0.0,0.0,0.0,57.1
Julian Hall,Red Bull New York,Unknown,5,0.0,0.0,13,4,0,0.0,0.0,0.0,0.0,30.8
Quinn Sullivan,Philadelphia Union,Unknown,5,0.0,0.0,8,4,0,0.0,0.0,0.0,0.0,50.0
Kévin Denkey,FC Cincinnati,Unknown,5,0.0,0.0,9,4,1,0.0,0.0,0.0,0.0,44.4
Tom Barlow,FC Cincinnati,Unknown,5,0.0,0.0,6,4,1,0.0,0.0,0.0,0.0,66.7
Przemysław Płacheta,Austin FC,Unknown,5,0.0,0.0,7,4,0,0.0,0.0,0.0,0.0,57.1
Sergi Solans,Real Salt Lake,Unknown,4,0.0,0.0,9,4,3,0.0,0.0,0.0,0.0,44.4
